t_s,CH1,CH2,CH3,CH4
50.5,120.445,766.693,3.151,43.842
51.0,120.012,776.592,3.184,43.408
51.5,117.848,635.396,3.153,45.69
52.0,118.867,655.57,3.236,45.345
52.5,117.207,629.222,3.158,45.732
53.0,121.504,640.435,3.23,44.583
53.5,121.968,668.477,3.182,47.484
54.0,120.515,646.368,3.224,46.305
54.5,121.311,668.515,3.249,42.332
55.0,120.206,656.033,3.158,46.214
55.5,121.702,666.487,3.155,46.175
56.0,120.671,637.724,3.143,46.831
56.5,119.087,668.335,3.209,45.742
57.0,122.312,662.04,3.166,46.231
57.5,123.963,665.131,3.296,47.034
58.0,126.219,666.2,3.291,47.908
58.5,120.807,664.441,3.227,47.483
59.0,121.835,673.75,3.315,45.904
59.5,119.601,684.103,3.385,47.041
60.0,122.797,656.916,3.331,47.101
60.5,122.699,665.125,3.285,46.274
61.0,123.541,692.602,3.407,48.079
61.5,126.853,681.992,3.365,47.84
62.0,124.351,680.793,3.315,49.105
62.5,124.813,687.191,3.388,47.156
63.0,124.096,692.116,3.427,48.576
63.5,127.304,679.578,3.291,46.003
64.0,122.658,682.128,3.425,47.578
64.5,123.256,682.136,3.296,46.939
65.0,128.648,666.772,3.411,46.131
65.5,122.328,706.298,3.26,47.849
66.0,125.329,701.523,3.369,46.67
66.5,125.238,685.955,3.28,45.934
67.0,126.039,691.665,3.438,45.924
67.5,127.722,691.365,3.304,48.761
68.0,126.549,686.375,3.394,46.583
68.5,124.347,651.814,3.384,47.003
69.0,126.758,672.612,3.385,46.655
69.5,126.803,702.516,3.345,46.527
70.0,125.969,686.403,3.26,47.761
70.5,123.313,663.31,3.352,47.294
71.0,127.242,669.736,3.347,47.401
71.5,127.835,682.739,3.344,47.399
72.0,125.093,655.003,3.422,47.844
72.5,124.155,675.184,3.316,48.461
73.0,125.582,665.373,3.271,45.366
73.5,123.475,684.974,3.323,46.892
74.0,123.628,664.965,3.294,46.769
74.5,121.789,675.197,3.151,45.986
75.0,123.476,779.379,3.279,46.439
75.5,120.441,666.945,3.261,44.472
76.0,118.607,659.441,3.184,44.851
76.5,121.135,651.087,3.244,44.407
77.0,123.316,659.638,3.331,44.429
77.5,121.307,664.45,3.285,46.236
78.0,122.673,652.673,3.244,45.674
78.5,121.278,672.901,3.238,43.013
79.0,119.529,644.866,3.196,47.491
79.5,117.297,642.115,3.202,44.008
80.0,120.726,638.735,3.073,44.326
80.5,120.255,650.181,3.248,43.527
81.0,119.242,656.26,3.173,43.331
81.5,121.667,643.264,3.172,43.629
82.0,119.487,650.696,3.149,44.53
82.5,120.017,613.24,3.248,44.788
83.0,118.074,646.629,3.17,33.612
83.5,120.015,634.829,3.087,44.401
84.0,114.891,632.197,3.176,43.877
84.5,120.205,648.093,3.073,42.976
85.0,119.472,630.714,3.252,44.326
85.5,114.906,613.45,2.994,44.011
86.0,115.058,622.435,3.101,43.665
86.5,119.469,620.47,3.088,43.056
87.0,114.23,643.375,3.11,42.553
87.5,116.695,641.391,3.06,42.785
88.0,113.954,618.158,3.103,44.171
88.5,115.476,778.38,3.036,43.035
89.0,116.083,620.753,3.06,43.262
89.5,111.426,621.345,3.068,43.173
90.0,116.985,614.287,3.117,42.929
90.5,111.12,617.043,3.105,42.585
91.0,113.242,609.335,3.016,43.835
91.5,115.928,609.977,2.966,43.671
92.0,114.363,598.561,3.057,44.12
92.5,117.037,595.828,3.053,43.304
93.0,117.126,624.485,3.038,41.716
93.5,114.423,629.668,3.014,41.065
94.0,114.247,618.031,3.045,44.457
94.5,113.589,605.296,3.08,42.487
95.0,113.976,634.762,2.985,41.245
95.5,116.097,614.52,3.091,41.629
96.0,115.272,594.027,3.055,43.238
96.5,116.377,631.701,3.142,43.41
97.0,115.875,612.684,3.053,43.087
97.5,115.739,619.201,3.089,42.999
98.0,118.767,625.614,3.087,45.19
98.5,113.04,634.676,3.098,43.569
99.0,115.288,638.693,3.007,42.945
99.5,115.349,609.204,3.106,42.324
